Facility Name,Category,Type,City,State,Start date,Gas Flow to project (scfm),Source,Date updated,Latitude,Longitude,x,y
121 Regional Disposal Facility,Landfill,Vehicle Fuel - Pipeline Injection,Melissa,TX,12/15/2017,4285,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,33.295432,-96.518814,-10744425.226450685,3934583.595361043
4K Dairy Digester,Ag digester,CNG,Pixley,CA,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.946611,-119.399228,-13291461.262069972,4293277.612506976
ABEC Lakeview Farms Dairy Digester,Ag digester,Electricity; CNG,Bakersfield,CA,2018,250,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,35.215125,-119.203477,-13269670.360427698,4193154.337982515
Ackerman Dairy Digester,Ag digester,Boiler/Furnace fuel; CNG,Ceres,CA,2020,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,37.537108,-120.952566,-13464378.057259815,4514239.502156251
AgPower Jerome LLC - Double A Dairy Digester,Ag digester,Pipeline Gas,Jerome,ID,2011,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,42.669064,-114.616495,-12759049.859909786,5261734.904686774
"Alliance SLF; Keystone Sanitary Landfill, Inc.",Landfill,Vehicle Fuel - Pipeline Injection,,,12/30/2021,,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,41.427,-75.608,-8416644.059897829,5075529.552419701
Altamont Landfill & Resource Recovery Facility,Landfill,Vehicle Fuel - Local Use,Livermore,CA,9/1/2009,2410,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,37.75,-121.65667,-13542758.556005321,4544169.146645438
American LF,Landfill,Vehicle Fuel - Pipeline Injection,Waynesburg,OH,4/1/2004,1660,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,40.72,-81.264,-9046267.099824583,4971129.040475635
Apex Sanitary Landfill,Landfill,Vehicle Fuel - Pipeline Injection,Amsterdam,OH,8/14/2018,2014,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,40.435,-80.91,-9006860.000083763,4929358.117761689
Arlington LF,Landfill,Vehicle Fuel - Pipeline Injection,Euless,TX,12/1/2019,2322,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,32.8,-97.108334,-10810050.292663135,3868787.2980985106
Atascocita RDF,Landfill,Vehicle Fuel - Pipeline Injection,Humble,TX,5/2/2018,4222,https://www.epa.gov/lmop/landfill-gas-energy-project-data-and-landfill-technical-data,2/28/2022,29.958334,-95.238334,-10601882.844879713,3498195.1912363973
Aukeman Farms Dairy Digester,Ag digester,CNG,Tulare,CA,2021,,https://www.epa.gov/agstar/livestock-anaerobic-digester-database,9/29/2021,36.10308756,-119.3737246,-13288622.236568475,4314815.348245019
